review_id,actual_stars,predicted_stars,explanation,valid_json,response_time
0,1,1,"The review describes poor service, long wait times, unappealing ambiance, and dissatisfying food, indicating a very negative experience.",True,5.543614149093628
1,1,1,"The review describes terrible service, overpriced food, and a generally negative experience, indicating a very low rating.",True,1.4433345794677734
2,1,1,"The review expresses extreme dissatisfaction with the small size of the wings, overshadowing any positive comments about flavor, leading to a very negative experience.",True,1.1535263061523438
3,1,1,"The review expresses extreme dissatisfaction with the staff's helpfulness and product availability, indicating a very negative experience.",True,1.3641695976257324
4,1,1,"The reviewer mentions consistently bad service, kitchen closing issues, overpriced entrees, and explicitly states they won't return, indicating a very negative experience.",True,1.7841265201568604
5,1,1,"The review describes a negative experience with poor service, subpar dessert quality, and overall disappointment, indicating a very low rating.",True,1.7826781272888184
6,1,2,"The review describes multiple issues including unsanitary conditions and poor food quality, suggesting a very negative experience.",True,1.0339088439941406
7,1,2,"The review highlights negative aspects like theft apathy, messy store conditions, and inadequate staffing despite some appreciation for the fashion.",True,1.2662804126739502
8,1,2,"The review mentions high prices, small portion sizes, stale bread, and only praises the fries, indicating a negative experience overall.",True,1.3181629180908203
9,1,1,"The review is overwhelmingly negative, citing rude service, being rushed, and issues with the bill, indicating a very poor experience.",True,1.2603778839111328
10,2,2,"The reviewer explicitly gives it 2 stars and details numerous significant issues like broken appliances, water billing problems, and disorganized staff.",True,48.359745025634766
11,2,2,"The reviewer explicitly states they would rate it close to a 2.5 and rounds down to 2, citing awkward table arrangement and a poorly made gyro.",True,1.333028793334961
12,2,2,"The reviewer explicitly disliked the crucial guacamole and salsa, found the rest of the food just okay, and expected better quality given the location, suggesting a low rating.",True,1.2510316371917725
13,2,1,"The review describes multiple negative experiences, including bland food, poor execution of dishes, long wait times, inconsistent drinks, and management issues, indicating a very unsatisfactory experience.",True,1.3501791954040527
14,2,2,"The review highlights several negative experiences (fly in salad, hair on pickle, inconsistent sandwich construction, bland wrap) despite some positive aspects, leading to a decision not to return.",True,1.40224027633667
15,2,2,The reviewer expresses dissatisfaction with the service due to the barista's unavailability and unprofessional behavior.,True,1.1319730281829834
16,2,2,"Despite praise for the queso and tortillas, the review details numerous issues including subpar food quality, poor service, a bug in the water, and unpleasant odors, leading to a negative overall experience.",True,1.3526043891906738
17,2,3,"The review is mixed, with several positives balanced by significant negatives regarding the green sauce, beans, and rice, suggesting an average experience.",True,1.2380247116088867
18,2,3,"Good service and setting are offset by overpriced and overcooked burgers, indicating a middling experience.",True,1.243713140487671
19,2,2,"The reviewer expressed disappointment with the sesame chicken and stated they wouldn't return, indicating a negative experience.",True,1.692676305770874
20,3,3,"The review mentions both positive aspects (fresh seafood, enjoyable patio, tasty tea) and negative aspects (mediocre ginger fish, not-so-hot dish, food looked better than it tasted), suggesting a mixed experience that warrants an average rating.",True,1.6688218116760254
21,3,3,The reviewer wants to give 4 stars but downgrades due to inconsistent bread quality.,True,52.61811137199402
22,3,3,"The review indicates a neutral experience with polite service but nothing exceptional, suggesting an average rating.",True,1.2367324829101562
